Year,Conf,Team,Wins,Loss,Prorated Win,Salary,cost per win,champ,Finals,playoffs,,,,,,,,,
2017,Northwest,Utah Jazz,51,31,51,"$103,837,783 ","$2,036,034.96 ",0,0,,,,,,,,,,
2017,Southeast,Washington Wizards,49,33,49,"$122,840,421 ","$2,506,947.37 ",0,0,,,,,,,,,,
2016,Southeast,Atlanta Hawks,48,34,48,"$92,928,845 ","$1,936,017.60 ",0,0,,,,,,,,,,
2016,Atlantic,Boston Celtics,48,34,48,"$91,484,921 ","$1,905,935.85 ",0,0,,,,,,,,,,
2016,Atlantic,Brooklyn Nets,21,61,21,"$65,405,906 ","$3,114,566.95 ",0,0,,,,,,,,,,
2016,Southeast,Charlotte Hornets,48,34,48,"$100,201,483 ","$2,087,530.90 ",0,0,,,,,,,,,,
2016,Central,Chicago Bulls,42,40,42,"$92,786,833 ","$2,209,210.31 ",0,0,,,,,,,,,,
2016,Central,Cleveland Cavaliers,57,25,57,"$125,132,604 ","$2,195,308.84 ",1,1,,,,,,,,,,
2016,Southwest,Dallas Mavericks,42,40,42,"$93,538,029 ","$2,227,095.93 ",0,0,,,,,,,,,,
2016,Northwest,Denver Nuggets,33,49,33,"$78,416,141 ","$2,376,246.70 ",0,0,,,,,,,,,,
2016,Central,Detroit Pistons,44,38,44,"$102,503,259 ","$2,329,619.52 ",0,0,,,,,,,,,,
2016,Pacific,Golden State Warriors,73,9,73,"$97,520,106 ","$1,335,891.86 ",0,1,,,,,,,,,,
2016,Southwest,Houston Rockets,41,41,41,"$88,025,448 ","$2,146,962.15 ",0,0,,,,,,,,,,
2016,Central,Indiana Pacers,45,37,45,"$85,614,337 ","$1,902,540.82 ",0,0,,,,,,,,,,
2016,Pacific,Los Angeles Clippers,53,29,53,"$114,094,528 ","$2,152,726.94 ",0,0,,,,,,,,,,
2016,Pacific,Los Angeles Lakers,17,65,17,"$85,639,596 ","$5,037,623.29 ",0,0,,,,,,,,,,
2016,Southwest,Memphis Grizzlies,42,40,42,"$108,352,164 ","$2,579,813.43 ",0,0,,,,,,,,,,
2016,Southeast,Miami Heat,48,34,48,"$96,523,509 ","$2,010,906.44 ",0,0,,,,,,,,,,
2016,Central,Milwaukee Bucks,33,49,33,"$89,559,893 ","$2,713,936.15 ",0,0,,,,,,,,,,
2016,Northwest,Minnesota Timberwolves,29,53,29,"$59,494,555 ","$2,051,536.38 ",0,0,,,,,,,,,,
2016,Southwest,New Orleans Pelicans,30,52,30,"$94,338,640 ","$3,144,621.33 ",0,0,,,,,,,,,,
2016,Atlantic,New York Knicks,32,50,32,"$80,469,422 ","$2,514,669.44 ",0,0,,,,,,,,,,
2016,Northwest,Oklahoma City Thunder,55,27,55,"$87,418,324 ","$1,589,424.07 ",0,0,,,,,,,,,,
2016,Southeast,Orlando Magic,35,47,35,"$102,502,863 ","$2,928,653.23 ",0,0,,,,,,,,,,
2016,Atlantic,Philadelphia 76ers,10,72,10,"$61,733,864 ","$6,173,386.40 ",0,0,,,,,,,,,,
2016,Pacific,Phoenix Suns,23,59,23,"$72,521,524 ","$3,153,109.74 ",0,0,,,,,,,,,,
2016,Northwest,Portland Trail Blazers,44,38,44,"$111,369,193 ","$2,531,118.02 ",0,0,,,,,,,,,,
2016,Pacific,Sacramento Kings,33,49,33,"$87,669,044 ","$2,656,637.70 ",0,0,,,,,,,,,,
2016,Southwest,San Antonio Spurs,67,15,67,"$105,303,720 ","$1,571,697.31 ",0,0,,,,,,,,,,
2016,Atlantic,Toronto Raptors,56,26,56,"$108,688,646 ","$1,940,868.68 ",0,0,,,,,,,,,,
2016,Northwest,Utah Jazz,40,42,40,"$80,223,192 ","$2,005,579.80 ",0,0,,,,,,,,,,
2016,Southeast,Washington Wizards,41,41,41,"$101,659,831 ","$2,479,508.07 ",0,0,,,,,,,,,,
2015,Southeast,Atlanta Hawks,60,22,60,"$71,332,945 ","$1,188,882.42 ",0,0,,,,,,,,,,
2015,Atlantic,Boston Celtics,40,42,40,"$58,250,334 ","$1,456,258.35 ",0,0,,,,,,,,,,
2015,Atlantic,Brooklyn Nets,38,44,38,"$51,712,738 ","$1,360,861.53 ",0,0,,,,,,,,,,
2015,Southeast,Charlotte Hornets,33,49,33,"$78,340,920 ","$2,373,967.27 ",0,0,,,,,,,,,,
2015,Central,Chicago Bulls,50,32,50,"$81,757,733 ","$1,635,154.66 ",0,0,,,,,,,,,,
2015,Central,Cleveland Cavaliers,53,29,53,"$106,997,466 ","$2,018,820.11 ",0,1,,,,,,,,,,
2015,Southwest,Dallas Mavericks,50,32,50,"$71,198,732 ","$1,423,974.64 ",0,0,,,,,,,,,,
2015,Northwest,Denver Nuggets,30,52,30,"$60,186,706 ","$2,006,223.53 ",0,0,,,,,,,,,,
2015,Central,Detroit Pistons,32,50,32,"$66,217,330 ","$2,069,291.56 ",0,0,,,,,,,,,,
2015,Pacific,Golden State Warriors,67,15,67,"$88,971,214 ","$1,327,928.57 ",1,1,,,,,,,,,,
2015,Southwest,Houston Rockets,56,26,56,"$75,204,953 ","$1,342,945.59 ",0,0,,,,,,,,,,
2015,Central,Indiana Pacers,38,44,38,"$66,751,826 ","$1,756,627.00 ",0,0,,,,,,,,,,
2015,Pacific,Los Angeles Clippers,56,26,56,"$94,554,340 ","$1,688,470.36 ",0,0,,,,,,,,,,
2015,Pacific,Los Angeles Lakers,21,61,21,"$71,770,430 ","$3,417,639.52 ",0,0,,,,,,,,,,
2015,Southwest,Memphis Grizzlies,55,27,55,"$76,017,172 ","$1,382,130.40 ",0,0,,,,,,,,,,
2015,Southeast,Miami Heat,37,45,37,"$82,549,106 ","$2,231,056.92 ",0,0,,,,,,,,,,
2015,Central,Milwaukee Bucks,41,41,41,"$68,656,240 ","$1,674,542.44 ",0,0,,,,,,,,,,
2015,Northwest,Minnesota Timberwolves,16,66,16,"$59,841,104 ","$3,740,069.00 ",0,0,,,,,,,,,,
2015,Southwest,New Orleans Pelicans,45,37,45,"$80,164,538 ","$1,781,434.18 ",0,0,,,,,,,,,,
2015,Atlantic,New York Knicks,17,65,17,"$79,376,308 ","$4,669,194.59 ",0,0,,,,,,,,,,
2015,Northwest,Oklahoma City Thunder,45,37,45,"$93,765,298 ","$2,083,673.29 ",0,0,,,,,,,,,,
2015,Southeast,Orlando Magic,25,57,25,"$61,108,745 ","$2,444,349.80 ",0,0,,,,,,,,,,
2015,Atlantic,Philadelphia 76ers,18,64,18,"$31,052,215 ","$1,725,123.06 ",0,0,,,,,,,,,,
2015,Pacific,Phoenix Suns,39,43,39,"$63,389,393 ","$1,625,369.05 ",0,0,,,,,,,,,,
2015,Northwest,Portland Trail Blazers,51,31,51,"$48,301,816 ","$947,094.43 ",0,0,,,,,,,,,,
2015,Pacific,Sacramento Kings,29,53,29,"$71,733,666 ","$2,473,574.69 ",0,0,,,,,,,,,,
2015,Southwest,San Antonio Spurs,55,27,55,"$85,192,733 ","$1,548,958.78 ",0,0,,,,,,,,,,
2015,Atlantic,Toronto Raptors,49,33,49,"$71,217,611 ","$1,453,420.63 ",0,0,,,,,,,,,,
2015,Northwest,Utah Jazz,38,44,38,"$63,160,091 ","$1,662,107.66 ",0,0,,,,,,,,,,
2015,Southeast,Washington Wizards,46,36,46,"$76,328,636 ","$1,659,318.17 ",0,0,,,,,,,,,,
2014,Southeast,Atlanta Hawks,38,44,38,"$57,245,276 ","$1,506,454.63 ",0,0,,,,,,,,,,
2014,Atlantic,Boston Celtics,25,57,25,"$52,905,065 ","$2,116,202.60 ",0,0,,,,,,,,,,
2014,Atlantic,Brooklyn Nets,44,38,44,"$88,024,730 ","$2,000,562.05 ",0,0,,,,,,,,,,
2014,Southeast,Charlotte Hornets,43,39,43,"$64,710,971 ","$1,504,906.30 ",0,0,,,,,,,,,,
2014,Central,Chicago Bulls,48,34,48,"$67,099,204 ","$1,397,900.08 ",0,0,,,,,,,,,,
2014,Central,Cleveland Cavaliers,33,49,33,"$80,811,761 ","$2,448,841.24 ",0,0,,,,,,,,,,
2014,Southwest,Dallas Mavericks,49,33,49,"$72,183,738 ","$1,473,137.51 ",0,0,,,,,,,,,,
2014,Northwest,Denver Nuggets,36,46,36,"$53,359,369 ","$1,482,204.69 ",0,0,,,,,,,,,,
2014,Central,Detroit Pistons,29,53,29,"$49,558,917 ","$1,708,928.17 ",0,0,,,,,,,,,,
2014,Pacific,Golden State Warriors,51,31,51,"$71,881,167 ","$1,409,434.65 ",0,0,,,,,,,,,,
2014,Southwest,Houston Rockets,54,28,54,"$71,004,520 ","$1,314,898.52 ",0,0,,,,,,,,,,
2014,Central,Indiana Pacers,56,26,56,"$74,798,942 ","$1,335,695.39 ",0,0,,,,,,,,,,
2014,Pacific,Los Angeles Clippers,57,25,57,"$77,554,797 ","$1,360,610.47 ",0,0,,,,,,,,,,
2014,Pacific,Los Angeles Lakers,27,55,27,"$59,483,328 ","$2,203,086.22 ",0,0,,,,,,,,,,
2014,Southwest,Memphis Grizzlies,50,32,50,"$73,989,079 ","$1,479,781.58 ",0,0,,,,,,,,,,
2014,Southeast,Miami Heat,54,28,54,"$75,084,575 ","$1,390,455.09 ",0,1,,,,,,,,,,
2014,Central,Milwaukee Bucks,15,67,15,"$44,560,189 ","$2,970,679.27 ",0,0,,,,,,,,,,
2014,Northwest,Minnesota Timberwolves,40,42,40,"$64,182,806 ","$1,604,570.15 ",0,0,,,,,,,,,,
2014,Southwest,New Orleans Pelicans,34,48,34,"$68,280,315 ","$2,008,244.56 ",0,0,,,,,,,,,,
2014,Atlantic,New York Knicks,37,45,37,"$54,410,045 ","$1,470,541.76 ",0,0,,,,,,,,,,
2014,Northwest,Oklahoma City Thunder,59,23,59,"$77,876,390 ","$1,319,938.81 ",0,0,,,,,,,,,,
2014,Southeast,Orlando Magic,23,59,23,"$41,311,716 ","$1,796,161.57 ",0,0,,,,,,,,,,
2014,Atlantic,Philadelphia 76ers,19,63,19,"$34,387,296 ","$1,809,857.68 ",0,0,,,,,,,,,,
2014,Pacific,Phoenix Suns,48,34,48,"$55,464,385 ","$1,155,508.02 ",0,0,,,,,,,,,,
